,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.4_mp_rbf_matern32_sin_lin_sin_lfbgs_4_0
.kernel.kernels[0].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7319030844060522>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7567669033662274>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7906698833946295>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.7681924503446852>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.8537910096031253>"
.kernel.kernels[0].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.08979001, 1.89271472, 2.00989013, 1.9235603 , 2.0561318 ,
       2.05153796, 1.73914491, 1.66912837, 1.9138267 ])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.21816411, 2.08283427, 1.51022637, 1.8650477 , 1.8877978 ,
       2.27656861, 1.85745205, 1.97768016, 1.76906129])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.0880861 , 1.67004161, 1.78015874, 1.71411022, 2.16147449,
       2.30682226, 1.75547116, 2.13090369, 1.75835056])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.24893891, 1.74292956, 1.70439561, 1.54339034, 2.23506195,
       2.18131942, 2.05858686, 2.09476482, 1.63580965])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.15500028, 1.71545372, 1.71282044, 1.86814315, 2.0377044 ,
       2.15923757, 1.72056603, 1.65776193, 1.63030328])>"
.kernel.kernels[1].variance,"<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5462897149571561>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5256343116265809>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.509621046523752>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.547802346794768>","<Parameter: name=softplus, dtype=float64, shape=[], fn=""softplus"", numpy=0.5226593445539276>"
.kernel.kernels[1].lengthscales,"<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([1.19576756, 1.96433939, 1.6699241 , 1.83666232, 2.05633789,
       2.37893561, 2.13347662, 1.86630663, 2.44652402])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.9695299 , 2.42466675, 1.94839378, 2.47548557, 1.80998039,
       2.61010388, 1.80670594, 2.14599871, 2.29669428])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.94720118, 2.51796523, 2.32791134, 2.39172022, 2.20264206,
       2.65049156, 1.68341726, 2.23574998, 2.00477099])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.83843405, 2.59969713, 1.5187016 , 2.28241119, 2.35920001,
       2.56641646, 2.26217834, 2.35746007, 2.39480506])>","<Parameter: name=softplus, dtype=float64, shape=[9], fn=""softplus"", numpy=
array([0.92154893, 2.61952443, 2.33072273, 2.37751238, 2.08508233,
       2.45064561, 1.70793768, 1.70091416, 2.2099084 ])>"
