,0,1,2,3,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,0.6459397723962131,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[0].lengthscales,0.911713152326746,1.3053256551086314,1.2525605309233383,1.2340653168672584,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[1].variance,0.5712237097974288,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[1].lengthscales,0.9610093172695158,1.2591490187604562,0.410092605371921,1.1161312970923265,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[2].variance,3.178777486378285e-06,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[3].variance,0.8514317574505714,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[4].variance,0.8362971748260567,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[4].lengthscales,365.0,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[5].variance,0.6477691286744159,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
.kernel.kernels[5].lengthscales,1440.0,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.4,Like 4.3 but now using normalized Y output.,1000,40,"[[-5.66535038e-01  1.65600000e+03  6.44513097e-02  6.68482879e-01
  -8.61655211e-01  4.20000000e+02]
 [ 9.48378430e-01  6.13000000e+02  5.23893096e-01 -1.42851397e+00
   1.73560098e+00  6.00000000e+02]
 [ 4.23985307e-01  5.95000000e+02  1.96221851e+00  8.77093378e-02
   2.24052224e+00  7.30000000e+02]
 ...
 [ 9.77511381e-01  1.34400000e+03 -2.28806543e-01 -1.22695881e+00
   6.66549987e-03  6.00000000e+02]
 [ 8.02713673e-01  1.33800000e+03  1.88378993e-01  1.22609232e+00
  -1.16248144e+00  5.53000000e+02]
 [-1.00407817e-01  5.77000000e+02 -2.96121879e-01 -1.24319957e+00
  -8.11457783e-02  7.65000000e+02]]"
