,0,1,2,3,4,5,6,7,8,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,0.762011347112041,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[0].lengthscales,1.315466414045881,1.131590023134291,1.695936290214488,1.6438696471103222,1.989897689469663,2.394886893047088,1.8243492836823496,1.6751490536056237,1.3573728259734368,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[1].variance,0.4653784864321289,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[1].lengthscales,0.672650239572661,2.0187494289700503,3.195451917776723,3.0969063334989846,1.927333321353784,2.6439466043146287,1.5456382673342113,1.8750703903785824,1.6803674579990826,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[2].variance,0.8942914316444809,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[3].variance,0.7217275113554213,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[4].variance,0.7633084492133089,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[5].variance,0.7799531997555106,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[6].variance,0.7674637901457244,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[7].variance,0.8426458596927225,,,,,,,,,rbf_lin_matern32_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.5,Now uses separate dimensions for each year via one-hot encoding.,1000,40,"[[-1.28187475e+00  1.72000000e+02 -1.09301855e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.65867559e-01  5.75000000e+02 -7.52086367e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.57187155e-01  1.31600000e+03 -2.86410000e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 ...
 [-9.29451427e-01  9.14000000e+02  5.07089844e-01 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.39066879e+00  1.72300000e+03 -3.53010706e-01 ...  0.00000000e+00
   0.00000000e+00  1.00000000e+00]
 [-2.24604779e-01  2.08000000e+02  5.26827389e-02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
