,0,1,2,3,4,5,6,7,8,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,0.7319030844060522,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[0].lengthscales,1.0897900095555026,1.8927147184954363,2.009890130484071,1.9235602988178382,2.0561318008293004,2.05153796487639,1.739144914470125,1.669128367497054,1.9138267043341748,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[1].variance,0.5462897149571561,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[1].lengthscales,1.195767563319582,1.964339393319101,1.6699241045729443,1.8366623159440003,2.0563378868381363,2.378935611885367,2.133476618670744,1.8663066261841719,2.446524022667476,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[2].kernels[0].variance,0.6976373571589385,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[2].kernels[1].variance,1.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[2].kernels[1].lengthscales,365.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[3].kernels[0].variance,0.697066255296249,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[3].kernels[1].variance,1.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
.kernel.kernels[3].kernels[1].lengthscales,365.0,,,,,,,,,rbf_matern32_sin_lin_sin,lfbgs,0,0,"Day,Overall_Day,Latitude,Longitude,embay_dist,minute_of_day",ES,SVGP,False,4.6.4_mp,Same as 4.6 but with grouping done by year and by site (only 1 year of data removed at a time) + mp.,1000,25,"[[ 1.09516863e+00  6.18000000e+02  4.63676757e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-8.01487758e-01  1.28300000e+03  2.12365012e-01 ...  0.00000000e+00
   1.00000000e+00  0.00000000e+00]
 [ 1.55334563e-02  9.46000000e+02 -4.50370617e-04 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.09694467e-01  5.63000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  2.39000000e+02 -1.13725148e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.86658025e-01  9.69000000e+02  7.63232863e-02 ...  1.00000000e+00
   0.00000000e+00  0.00000000e+00]]"
