,0,1,2,3,4,Kernel,Optimizer,Fold,Year,Independent Vars,Area,Method,Spatial PCA,Model Name,Notes,Inducing Locations,Epochs/Fold,Inducing Variables
.kernel.kernels[0].variance,1.4215304992571165,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[0].lengthscales,6.574098628460644,2.411714184614835,0.7792217100256371,3.4182837335609664,1.718698087515058,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[1].variance,1.7277756954161017,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[1].lengthscales,0.4811641891695773,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[2].variance,0.4031829038613605,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[2].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[0].variance,0.8121882950371038,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[1].variance,0.8121882950371101,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[3].kernels[1].lengthscales,365.0,,,,,matern32_rbf_intra_sin,lfbgs,0,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.45000000e+02  8.76293441e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 [ 2.44000000e+02  8.46683587e-01  1.72715597e+00  1.09171255e-01
   1.84446802e+00 -1.00000000e+00]
 [ 1.94000000e+02 -6.33809084e-01 -9.67158619e-01  3.80092248e-01
  -9.48292939e-01 -1.00000000e+00]
 ...
 [ 2.55000000e+02  1.17239197e+00  9.77777190e-02 -1.48538978e+00
   5.52487596e-01  1.00000000e+00]
 [ 2.22000000e+02  1.95266812e-01  2.57195562e-01 -4.91878957e-01
   1.31855277e-01  1.00000000e+00]
 [ 1.62000000e+02 -1.58132439e+00 -4.28257417e+00 -2.31385362e+00
  -5.60491941e-01  1.00000000e+00]]"
.kernel.kernels[0].variance,1.4382869581738795,,,,,matern32_rbf_intra_sin,lfbgs,1,2020,"Day,Overall_Day,Latitude,Longitude,embay_dist,SST",ES,SVGP,False,5.1,Like 3.6 but with Satellite Data Added In.,500,100,"[[ 2.48000000e+02  9.17035688e-01 -7.70123666e-01  5.85965834e-01
  -9.49869250e-01 -1.00000000e+00]
 [ 2.65000000e+02  1.42769247e+00  1.82567921e-01 -3.20878895e-01
  -2.06432270e-01 -1.00000000e+00]
 [ 1.97000000e+02 -6.14934666e-01 -1.19178696e-01 -3.09890644e-01
  -8.03170016e-01  1.00000000e+00]
 ...
 [ 1.60000000e+02 -1.72636414e+00  2.97775951e-01  1.26722183e+00
  -1.07975019e+00 -1.00000000e+00]
 [ 1.70000000e+02 -1.42597779e+00  5.72817913e-01 -1.36005530e+00
   1.50084740e+00 -1.00000000e+00]
 [ 1.92000000e+02 -7.65127837e-01  5.60423675e-01 -3.33532382e-01
   3.85493761e-01  1.00000000e+00]]"
